Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-25.25,69.31,-42.22,-26.88,-57.05,2.92
-25.25,69.31,-42.22,-26.88,-57.05,2.92
-24.91,69.23,-42.23,-26.84,-57.39,2.95
-24.91,69.23,-42.23,-26.84,-57.39,2.95
-24.91,69.23,-42.23,-26.84,-57.39,2.95
-24.91,69.23,-42.23,-26.84,-57.39,2.95
-24.62,69.17,-42.25,-26.80,-57.66,2.98
-24.62,69.17,-42.25,-26.80,-57.66,2.98
-24.62,69.17,-42.25,-26.80,-57.66,2.98
-24.62,69.17,-42.25,-26.80,-57.66,2.98
-24.80,69.22,-42.24,-26.83,-57.50,2.96
-24.80,69.22,-42.24,-26.83,-57.50,2.96
-24.80,69.22,-42.24,-26.83,-57.50,2.96
-24.80,69.22,-42.24,-26.83,-57.50,2.96
-24.73,69.10,-42.18,-26.72,-57.42,3.05
-24.73,69.10,-42.18,-26.72,-57.42,3.05
-24.73,69.10,-42.18,-26.72,-57.42,3.05
-24.73,69.10,-42.18,-26.72,-57.42,3.05
-24.37,68.91,-42.13,-26.60,-57.66,3.15
-24.37,68.91,-42.13,-26.60,-57.66,3.15
-24.37,68.91,-42.13,-26.60,-57.66,3.15
-24.37,68.91,-42.13,-26.60,-57.66,3.15
-23.93,68.72,-42.11,-26.50,-58.02,3.25
-23.93,68.72,-42.11,-26.50,-58.02,3.25
-23.93,68.72,-42.11,-26.50,-58.02,3.25
-23.93,68.72,-42.11,-26.50,-58.02,3.25
-23.51,68.55,-42.09,-26.41,-58.39,3.33
-23.51,68.55,-42.09,-26.41,-58.39,3.33
-23.51,68.55,-42.09,-26.41,-58.39,3.33
-23.51,68.55,-42.09,-26.41,-58.39,3.33
-23.19,68.42,-42.08,-26.35,-58.68,3.38
-23.19,68.42,-42.08,-26.35,-58.68,3.38
-23.19,68.42,-42.08,-26.35,-58.68,3.38
-23.19,68.42,-42.08,-26.35,-58.68,3.38
-23.18,68.42,-42.08,-26.35,-58.68,3.39
-23.18,68.42,-42.08,-26.35,-58.68,3.39
-23.18,68.42,-42.08,-26.35,-58.68,3.39
-23.18,68.42,-42.08,-26.35,-58.68,3.39
-22.94,68.27,-42.01,-26.24,-58.74,3.50
-22.94,68.27,-42.01,-26.24,-58.74,3.50
-22.94,68.27,-42.01,-26.24,-58.74,3.50
-22.94,68.27,-42.01,-26.24,-58.74,3.50
-22.50,68.09,-41.97,-26.15,-59.01,3.61
-22.50,68.09,-41.97,-26.15,-59.01,3.61
-22.50,68.09,-41.97,-26.15,-59.01,3.61
-22.50,68.09,-41.97,-26.15,-59.01,3.61
-21.98,67.91,-41.94,-26.08,-59.38,3.71
-21.98,67.91,-41.94,-26.08,-59.38,3.71
-21.98,67.91,-41.94,-26.08,-59.38,3.71
-21.98,67.91,-41.94,-26.08,-59.38,3.71
-21.49,67.76,-41.92,-26.02,-59.74,3.79
-21.49,67.76,-41.92,-26.02,-59.74,3.79
-21.49,67.76,-41.92,-26.02,-59.74,3.79
-21.49,67.76,-41.92,-26.02,-59.74,3.79
-21.15,67.66,-41.91,-25.98,-60.01,3.84
-21.15,67.66,-41.91,-25.98,-60.01,3.84
-21.15,67.66,-41.91,-25.98,-60.01,3.84
-21.15,67.66,-41.91,-25.98,-60.01,3.84
-20.89,67.59,-41.90,-25.96,-60.21,3.87
-20.89,67.59,-41.90,-25.96,-60.21,3.87
-20.89,67.59,-41.90,-25.96,-60.21,3.87
-20.89,67.59,-41.90,-25.96,-60.21,3.87
-21.04,67.58,-41.86,-25.94,-60.03,3.90
-21.04,67.58,-41.86,-25.94,-60.03,3.90
-21.04,67.58,-41.86,-25.94,-60.03,3.90
-21.04,67.58,-41.86,-25.94,-60.03,3.90
-20.69,67.38,-41.80,-25.89,-60.25,4.02
-20.69,67.38,-41.80,-25.89,-60.25,4.02
-20.69,67.38,-41.80,-25.89,-60.25,4.02
-20.69,67.38,-41.80,-25.89,-60.25,4.02
-20.22,67.17,-41.75,-25.85,-60.61,4.13
-20.22,67.17,-41.75,-25.85,-60.61,4.13
-20.22,67.17,-41.75,-25.85,-60.61,4.13
-20.22,67.17,-41.75,-25.85,-60.61,4.13
-19.73,66.95,-41.72,-25.82,-61.01,4.22
-19.73,66.95,-41.72,-25.82,-61.01,4.22
-19.73,66.95,-41.72,-25.82,-61.01,4.22
-19.73,66.95,-41.72,-25.82,-61.01,4.22
